,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
878,En la Intimidad,En la Intimidad,Big One,2023-02-01,ARP7V2200017,890,51.2,210712407,24033,7343818,65.0,379884934,1091380,575300,54956649,793158034,18815238,8.0,6145,52,13,0,9,0,0,0,261474,0,,,,,,,,,
879,Counting Stars,Native (Standard),OneRepublic,2013-01-01,USUM71301306,892,51.1,2466006842,343135,114346295,81.0,304524339,2956756,382991,125290160,1245061983,149045425,198.0,237316,170,138,0,40,1394055006,0,0,118910,0,1394055006,,,,,,,,
880,Essence (feat. Tems),Essence (feat. Tems),Wizkid,2020-10-28,USRC12003059,893,51.0,242254880,85783,13563028,66.0,418190794,2892075,280027,66345848,617402549,82045151,216.0,404288,561,21,0,42,59766393,0,15395153,4536227,0,59766393,,,,,,,,
881,Get Into It (Yuh),Planet Her,Doja Cat,2021-06-25,USRC12101535,895,51.0,603196133,97704,24305145,68.0,265715680,3742969,1300477,823930204,7709942104,125603487,55.0,228888,0,17,0,8,53920294,0,0,2436551,1,53920294,,,,,,,,
882,RAVE,RAVE,Dxrk ï¿½ï¿½ï¿½,2022-03-18,QM4TX2201027,894,51.0,415552038,104372,42500205,71.0,281772953,4299740,814700,474655469,5435575162,31543598,32.0,282,0,6,0,2,3358648,0,0,2994271,0,3358648,,,,,,,,
883,No Me Conoce,No Me Conoce,Jhay Cortez,2019-02-22,USUM71900979,896,51.0,49585127,9710,1428548,47.0,2272109362,6577485,12412,1911710,20432637,315246980,3.0,1066,0,3,0,20,15194156,0,0,466976,0,15194156,155.0,UCvpEyEBML6z-PJJ9XrqgpKQ,Jhayco,https://www.youtube.com/channel/UCvpEyEBML6z-PJJ9XrqgpKQ,5400000.0,5009500183.0,40.0,30568.0
884,offline,att.,Young Miko,2024-04-05,QZXD92300025,900,50.9,109149345,8869,89312461,82.0,21230788,190160,0,0,0,1050568,41.0,2232,56,23,0,34,575037,201,0,267702,1,575037,,,,,,,,
885,TOPIA TWINS,UTOPIA,Travis Scott,2023-07-28,USSM12305013,898,50.9,196369387,70723,12274321,74.0,26280803,447983,47600,23423522,141407787,3855807,14.0,89,2,6,0,1,638202,0,0,310132,1,638202,,,,,,,,
886,Janze,Janze,Xamdam Sobirov,2023-07-31,RUA1D2384226,899,50.9,344691,77,5871,30.0,334194426,866855,154161,4397504,144597808,62334320,1.0,0,0,0,0,0,0,0,0,407695,0,,,,,,,,,
887,"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",Neha Kakkar,2019-07-15,INS181904064,897,50.9,144985656,15143,5892217,57.0,1662729195,8178016,3112998,41878672,462897728,255648659,18.0,2585,0,0,0,3,0,0,403099,717736,0,,,,,,,,,
888,Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,USUM71813195,901,50.9,1269760706,137601,32384233,76.0,824308720,4676578,1213771,33512447,573562180,1951219741,88.0,66461,4,55,0,27,322220265,0,612635,9755956,0,322220265,,,,,,,,
889,Monotonï¿½,Monotonï¿½,Shakira,2022-10-19,USQX92204791,903,50.8,498744348,50326,35586221,67.0,306510173,4113572,0,1230,38341,87435327,78.0,78919,0,49,0,52,42356554,0,0,913182,0,42356554,102.0,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,https://www.youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,47700000.0,32236284843.0,363.0,72554.0
